"","CECC_record_number","crim_act"
"913","2020-00105","LCAP_MIN"
"354","2013-00274","LCAP_MIN"
"553","2016-00250","LCAP_MIN"
"659","2018-00191","LCAP_MIN"
"348","2013-00229","LCAP_MAX"
"882","2020-00023","LCAP_MIN"
"27","2004-01941","LCAP_MIN"
"925","2020-00164","LCAP_MAX"
"859","2019-00522","LCAP_MIN"
"381","2013-00364","LCAP_MIN"
"216","2009-00388","LCAP_MAX"
"410","2014-00168","LCAP_MAX"
"171","2009-00065","LCAP_MAX"
"694","2018-00364","LCAP_MAX"
"74","2004-05263","LCAP_MIN"
"380","2013-00363","LCAP_MIN"
"254","2010-00445","HCAP_MAX"
"842","2019-00417","LCAP_MIN"
"555","2016-00277","LCAP_MIN"
"295","2012-00092","LCAP_MAX"
"820","2019-00365","LCAP_MIN"
"91","2004-05474","LCAP_MIN"
"560","2016-00333","LCAP_MIN"
"640","2018-00118","LCAP_MIN"
"884","2020-00034","LCAP_MAX"
"792","2019-00199","LCAP_MIN"
"656","2018-00162","LCAP_MIN"
"317","2012-00279","LCAP_MIN"
"533","2016-00070","LCAP_MIN"
"422","2014-00224","LCAP_MAX"
"360","2013-00316","LCAP_MIN"
"588","2017-00118","LCAP_MIN"
"77","2004-05288","LCAP_MAX"
"315","2012-00275","LCAP_MIN"
"745","2018-00585","LCAP_MIN"
"499","2015-00268","LCAP_MAX"
"868","2019-00547","LCAP_MIN"
"198","2009-00295","LCAP_MAX"
"726","2018-00468","LCAP_MIN"
"353","2013-00273","LCAP_MAX"
"920","2020-00145","LCAP_MIN"
"873","2020-00008","LCAP_MIN"
"373","2013-00356","LCAP_MIN"
"298","2012-00098","LCAP_MAX"
"840","2019-00415","LCAP_MIN"
"836","2019-00403","LCAP_MIN"
"837","2019-00404","LCAP_MIN"
"41","2004-02191","LCAP_MIN"
"3","2004-00188","LCAP_MAX"
"130","2007-00085","LCAP_MAX"
"465","2015-00124","LCAP_MIN"
"860","2019-00526","LCAP_MIN"
"912","2020-00104","LCAP_MIN"
"508","2015-00309","LCAP_MAX"
"689","2018-00357","LCAP_MAX"
"319","2012-00298","LCAP_MIN"
"743","2018-00583","LCAP_MIN"
"30","2004-02022","LCAP_MIN"
